幣種,描述
BTC,首個加密貨幣，去中心化數位貨幣，透過區塊鏈技術實現安全交易，被視為數位黃金。
ETH,智能合約平台，支援去中心化應用程式（DApp），推動 DeFi 和 NFT 的發展。
USDT,穩定幣，價值與美元掛鉤，旨在提供價格穩定性，常用於加密貨幣交易對。
XRP,支付協議，旨在促進快速、低成本的跨境支付，目標是改善全球金融體系。
BNB,幣安交易所的原生代幣，用於支付交易手續費、參與 IEO 等，並用於 BNB Chain 生態系。
SOL,高性能區塊鏈，提供快速交易速度和低廉的手續費，適用於 DApp 和 DeFi 應用。
USDC,穩定幣，與美元 1:1 錨定，由 Centre Consortium 發行，受監管且透明。
ADA,第三代區塊鏈，強調科學哲學和可持續性，旨在建立一個更安全、透明的區塊鏈平台。
DOGE,迷因幣，起源於網路玩笑，但因社群支持和名人推廣而廣受歡迎。
TRX,去中心化娛樂平台，旨在建立一個免費、全球內容分享系統，並支持 DApp 開發。
STETH,在Lido質押的以太幣的代表，允許用戶在獲得質押獎勵的同時保持ETH的流動性。
WBTC,ERC-20 代幣，代表 Bitcoin 在 Ethereum 上的價值，方便 Bitcoin 參與 DeFi 活動。
LINK,去中心化預言機網路，為智能合約提供鏈外數據，確保智能合約的可靠性。
LEO,Bitfinex 交易所的實用型代幣，持有者可享有交易手續費折扣等優惠。
TON,Telegram 開發的區塊鏈平台，旨在提供快速、安全的交易和 DApp 服務。
XLM,支付協議，旨在促進快速、低成本的跨境支付，目標是改善全球金融包容性。
WSTETH,Wrapped Lido Staked Ether，方便在 DeFi 中使用，代表質押在 Lido 的 ETH。
USDS,穩定幣，與美元掛鉤，由 Stablecoin 發行，旨在提供價格穩定性。
HBAR,企業級區塊鏈，採用 Hashgraph 共識機制，提供快速、安全、低成本的交易。
AVAX,快速、低成本的區塊鏈平台，支援多種共識機制，適用於 DeFi 和企業應用。
PI,手機挖礦項目，旨在讓更多人參與加密貨幣，但具有中心化和爭議性。
SHIB,迷因幣，以 Dogecoin 為靈感，建立龐大社群，並發展 DeFi 生態系。
SUI,新興區塊鏈，強調可擴展性和低延遲，使用物件導向模型，專為遊戲和社交應用設計。
LTC,早期加密貨幣，以快速交易速度和不同的挖礦演算法而聞名，被視為「數位白銀」。
DOT,多鏈區塊鏈，旨在連接不同的區塊鏈，實現跨鏈互操作性，建立一個去中心化網路。
OM,Layer 1 區塊鏈，專注於 RWA 和合規 DeFi，目標是連接傳統金融和區塊鏈世界。
BCH,Bitcoin 的硬分叉，旨在提高交易速度和容量，但社群和發展存在分歧。
BGB,Bitget 交易所的原生代幣，提供交易折扣、Launchpad 參與等權益。
WETH,Wrapped Ether，ERC-20 版本的 Ether，方便在 DeFi 協議中使用。
USDE,Ethena Labs發行的合成美元，通過Delta對沖以太坊質押獲得穩定性。
BSC-USD,在幣安智能鏈上的 USDT 的橋接版本。
HYPE,去中心化衍生品交易所，提供高效的交易體驗和多樣化的交易產品。
WEETH,Wrapped eETH，方便在 DeFi 中使用，代表質押在 Ether.fi 的 ETH。
WBT,WhiteBIT 交易所的原生代幣，持有者可享有交易手續費折扣等優惠。
UNI,去中心化交易所 (DEX)，採用自動做市商 (AMM) 模式，允許用戶交易 ERC-20 代幣。
XMR,注重隱私的加密貨幣，採用 Ring Signatures 和 Stealth Addresses 等技術，保護交易隱私。
SUSDS,由 Synthetix 協議發行的合成美元，旨在提供價格穩定性，用於交易合成資產。
APT,新興區塊鏈，強調安全性和可擴展性，採用 Move 語言，專為高性能應用設計。
NEAR,可擴展的區塊鏈平台，旨在簡化 DApp 開發，提供友好的用戶體驗。
DAI,去中心化穩定幣，由 MakerDAO 協議發行，與美元掛鉤，透過超額抵押機制維持價格穩定。
OKB,OKX 交易所的實用型代幣，持有者可享有交易手續費折扣等優惠。
PEPE,基於Pepe the Frog迷因的加密貨幣，以其社群驅動的性質和在社交媒體上的病毒式傳播而聞名。
ICP,去中心化雲計算平台，旨在取代傳統互聯網服務，支持 DApp 和網站開發。
ETC,Ethereum Classic 的原始鏈，堅守區塊鏈不可篡改的原則，社群較小。
GT,Gate.io 交易所的原生代幣，提供交易折扣、Launchpad 參與等權益。
ONDO,專注於將機構級金融資產代幣化的平台，旨在連接傳統金融和 DeFi。
MNT,Mantle Network 的原生代幣，用於治理、質押和支付 Gas 費。
AAVE,去中心化借貸協議，允許用戶借出和借入加密貨幣，賺取利息。
TKX,Tokenize Xchange 的原生代幣，提供交易折扣、Launchpad 參與等權益。
CBBTC,由 Coinbase 發行的 Wrapped BTC，方便在 DeFi 中使用。
VET,企業級區塊鏈，專注於供應鏈管理和產品溯源，提供可追蹤的產品資訊。
TRUMP,以唐納德·特朗普為主題的迷因幣，波動性高，風險極大。
CRO,Crypto.com 的原生代幣，用於支付交易手續費、參與質押等，並用於 Cronos Chain 生態系。
TAO,去中心化機器學習網路，旨在建立一個開放、協作的 AI 開發平台。
KAS,區塊鏈，採用 GhostDAG 協議，實現快速區塊確認時間和高吞吐量。
FDUSD,由 First Digital Trust 發行的與美元掛鉤的穩定幣。
ATOM,Cosmos Hub 區塊鏈網路，旨在連接不同的區塊鏈，實現跨鏈互操作性，建立一個「區塊鏈互聯網」。
ENA,旨在創建一個基於以太坊的加密原生收益美元的協議。
FIL,去中心化儲存網路，旨在建立一個開放、分散式的數據儲存市場。
POL,Polygon 2.0 代幣，用於保護 Polygon PoS 和管理社區財庫。
TIA,模塊化區塊鏈網路，旨在提供可擴展的數據可用性層，降低區塊鏈的運行成本。
ARB,Ethereum 的 Layer 2 擴容方案，採用 Optimistic Rollups 技術，提高交易速度和降低手續費。
LBTC,鎖定的比特幣的代表，可能提供收益或用於DeFi應用。
FTN,遊戲和博彩領域的加密貨幣。
RENDER,分散式 GPU 渲染網路，允許用戶租用 GPU 算力，用於 3D 渲染和 AI 計算。
S,原名Fantome，高性能區塊鏈。
ALGO,Algorand 區塊鏈，採用 Pure Proof-of-Stake (PPoS) 共識機制，提供快速、安全、低成本的交易。
OP,Ethereum 的 Layer 2 擴容方案，採用 Optimistic Rollups 技術，提高交易速度和降低手續費。
USDT,在 Arbitrum 上的 USDT 的橋接版本。
JUP,Solana 上的一個交換聚合器，旨在為用戶提供最佳的交易路徑和價格。
FET,Fetch.ai 去中心化機器學習平台，旨在建立一個自主經濟代理 (AEA) 網路，用於自動化任務和優化流程。
IP,旨在利用區塊鏈技術來改變智慧財產權的創作和所有權的平台。
KCS,KuCoin Token，KuCoin 交易所的原生代幣，提供交易折扣、Launchpad 參與等權益。
SOLVBTC,可以用來代表鎖定的比特幣，類似於 Wrapped Bitcoin。
BUIDL,BlackRock USD Institutional Digital Liquidity Fund,BlackRock 的美元流動性基金代幣化版本。
WETH,在 Binance Smart Chain 上的 WETH 的橋接版本。
QNT,Quant 區塊鏈作業系統，旨在連接不同的區塊鏈，實現跨鏈互操作性。
RSETH,Kelp DAO Restaked ETH，Kelp DAO 協議中質押的以太幣的代表，可參與 DeFi 活動。
MKR,Maker 協議的治理代幣，用於管理 Dai 穩定幣系統。
NEXO,加密貨幣借貸平台，允許用戶借出和借入加密貨幣，賺取利息。
MOVE,基於Move語言構建的高吞吐量區塊鏈。
XDC,混合區塊鏈，旨在連接傳統金融和貿易融資，提供高效的跨境支付和供應鏈管理解決方案。
DEXE,去中心化資產管理協議，允許用戶創建和管理加密貨幣投資組合。
IMX,Ethereum 的 Layer 2 擴容方案，專為 NFT 交易設計，提供低手續費和高吞吐量。
WLD,旨在建立一個全球身份驗證網路，通過虹膜掃描驗證用戶身份，並發放加密貨幣。
RETH,Rocket Pool ETH，在 Rocket Pool 協議中質押的以太幣的代表，可參與 DeFi 活動。
SEI,專為交易而設計的 Layer 1 區塊鏈，具有快速的交易速度和低延遲。
USD0,一種旨在通過演算法實現穩定的價值，並被廣泛用於區塊鏈生態系統中的交易和DeFi活動的穩定幣。
INJ,Injective 去中心化衍生品交易所，提供高效的交易體驗和多樣化的交易產品。
STX,Stacks Bitcoin 的 Layer 2 解決方案，旨在為 Bitcoin 帶來智能合約功能，並促進 DApp 開發。
BNSOL,在幣安質押的 SOL 代幣的代表。
THETA,Theta Network 去中心化影片串流平台，旨在降低串流成本，並提高影片品質。
GRT,The Graph 去中心化索引協議，用於查詢區塊鏈數據，為 DApp 提供快速、可靠的數據來源。
FLR,Flare 區塊鏈，旨在為 XRP Ledger 帶來智能合約功能，並促進 DApp 開發。
LDO,Lido DAO 流動性質押協議，允許用戶質押 ETH 並獲得 stETH，同時保持 ETH 的流動性。
EOS,早期區塊鏈平台，旨在提供高性能和易於使用的 DApp 開發環境，但發展遇到挑戰。
BONK,Solana 上的迷因幣，以社群驅動和空投活動而聞名。
USDT,在 Polygon 上的 USDT 的橋接版本。
SOLVBTC.BBN,Binance BTC 類似的加密貨幣。
METH,Mantle Staked Ether，Mantle 網路中質押的以太幣的代表。
PYUSD,PayPal 發行的與美元掛鉤的穩定幣。
GALA,Gala Games 區塊鏈遊戲平台，旨在建立一個去中心化的遊戲生態系統。
WBNB,在 Binance Smart Chain 上的 BNB 的橋接版本。
XAUT,Tether Gold 穩定幣，與黃金掛鉤，由 Tether 發行，代表真實黃金的所有權。
USDC,在 Binance Smart Chain 上的 USDC 的橋接版本。
XTZ,Tezos 自修正區塊鏈，具有鏈上治理功能，允許社群參與協議升級和決策。
SAND,The Sandbox 虛擬世界遊戲，允許用戶創建、擁有和交易遊戲資產，並參與遊戲體驗。
USDC.E,在 Berachain 上的 USDC 的橋接版本。
IOTA,IOTA 區塊鏈，採用 Tangle 技術，旨在建立一個用於物聯網 (IoT) 設備的數據和價值傳輸協議。
BSV,Bitcoin SV Bitcoin 的硬分叉，旨在恢復 Bitcoin 的原始協議和功能，但社群和發展存在分歧。
BTT,BitTorrent 去中心化檔案分享協議，旨在建立一個高效、分散式的檔案分享網路。
JASMY,JasmyCoin 物聯網 (IoT) 數據平台，旨在建立一個安全、透明的數據交易市場。
FLOW,Flow 快速、低成本的區塊鏈平台，專為 NFT 和遊戲應用設計。
CAKE,PancakeSwap Binance Smart Chain 上的去中心化交易所 (DEX)，採用自動做市商 (AMM) 模式，提供多樣化的 DeFi 功能。
WBTC,在 Arbitrum 上的 WBTC 的橋接版本。
JTO,Jito Solana 上的流動性質押協議，旨在提高質押收益和網絡安全性。
BERA,基於流動性證明共識機制的新型區塊鏈。
PAXG,PAX Gold 穩定幣，與黃金掛鉤，由 Paxos 發行，代表真實黃金的所有權。
KAIA,KAIA 元宇宙和 Web3 娛樂體驗。
EZETH,Renzo Restaked ETH,Renzo 協議中重新質押的以太幣的代表。
USDX,Stables Labs USDX Stables Labs 發行的美元穩定幣。
MSOL,Marinade Staked SOL Marinade Finance 協議中質押的 SOL 代幣的代表。
CRV,Curve DAO Token Curve 協議的治理代幣，用於管理穩定幣交易平台。
FLOKI,FLOKI 迷因幣，以 Shiba Inu 為靈感，建立龐大社群，並發展 Metaverse 和 NFT 生態系。
ENS,Ethereum Name Service,去中心化域名系統，將 Ethereum 地址映射到易於記憶的名稱，簡化加密貨幣交易。
NEO,NEO 中國區塊鏈平台，旨在建立一個智能經濟系統，支持 DApp 和智能合約開發。
HNT,Helium 去中心化無線網路，旨在建立一個全球覆蓋的 IoT 網路。
PYTH,Pyth Network 去中心化金融數據協議，為 DeFi 應用提供實時市場數據。
AXS,Axie Infinity Shards Axie Infinity 遊戲的治理代幣，用於參與遊戲決策和生態系發展。
USR,Resolv USR Resolv USR加密穩定幣。
RAY,Raydium,Solana 上的去中心化交易所 (DEX)，採用自動做市商 (AMM) 模式，提供快速交易速度和低廉的手續費。
KAVA,Kava DeFi 平台，旨在提供跨鏈借貸和穩定幣服務，連接不同的區塊鏈生態系。
JUPSOL,Jupiter Staked SOL 在 Jupiter 平台質押的 SOL 代幣的代表。
ZEC,Zcash 注重隱私的加密貨幣，採用 zk-SNARKs 技術，提供完全匿名的交易。
BDX,Beldex 旨在為用戶提供安全、私密的通訊和交易解決方案的隱私幣。
HONEY,HONEY在區塊鏈上運行且與法定貨幣掛鉤的數字資產。
EGLD,MultiversX 區塊鏈，採用 Adaptive State Sharding 技術，提供快速交易速度和低廉的手續費。
MANA,Decentraland 虛擬世界平台，允許用戶創建、擁有和交易虛擬土地和資產。
TEL,Telcoin 旨在與電信公司合作，提供便捷、低成本的跨境匯款服務。
DYDX,dYdX 去中心化衍生品交易所，提供槓桿交易和永續合約等產品。
RON,Ronin 專為 Axie Infinity 遊戲設計的側鏈，提供快速交易速度和低廉的手續費。
TUSD,TrueUSD 穩定幣，與美元 1:1 錨定，由 TrustToken 發行，受監管且透明。
WIF,dogwifhat Solana 上的迷因幣，以戴著帽子的柴犬為主題。
STRK,Starknet Ethereum 的 Layer 2 擴容方案，採用 Validity Rollups 技術，提供高性能和低成本的交易。
CMETH,Mantle Restaked ETH Mantle 網路中重新質押的以太幣的代表。
AR,Arweave 去中心化儲存網路，旨在提供永久儲存數據的服務，防止數據丟失和審查。
PUMPBTC,是一種旨在模仿比特幣價格走勢的代幣。
WETH,L2 Standard Bridged WETH 在 Base 網絡上的 WETH 的橋接版本。
CORE,基於比特幣權益證明的 Layer-1 區塊鏈。
CFX,Conflux 區塊鏈，採用 Tree-Graph 共識機制，提供高性能和可擴展性。
VIRTUAL,旨在創建虛擬世界體驗的平台。
XEC,eCash Bitcoin Cash 的重新命名，旨在實現快速交易和大規模採用。
USDC.E,在 Polygon 上的 USDC 的橋接版本。
NFT,APENFT 旨在促進 NFT 藝術品交易和收藏的平台。
CHZ,Chiliz 運動娛樂區塊鏈，旨在為體育俱樂部和粉絲提供互動和參與的平台。
DOGE,Binance-Peg Dogecoin 在 Binance Smart Chain 上的 Dogecoin 的橋接版本。
BTC.B,Avalanche Bridged BTC 在 Avalanche 上的 BTC 的橋接版本。
APE,ApeCoin Bored Ape Yacht Club NFT 社群的治理代幣，用於參與社群決策和生態系發展。
WETH,在 Arbitrum 上的 WETH 的橋接版本。
CLBTC,是一種旨在模仿比特幣價格走勢的代幣。
RUNE,THORChain 跨鏈流動性協議，旨在實現不同區塊鏈之間的資產交換。
AERO,Aerodrome Finance Optimism 上的去中心化交易所 (DEX)，採用自動做市商 (AMM) 模式，提供多樣化的交易對。
PENGU,Pudgy Penguins 以可愛企鵝為主題的 NFT 項目，具有社群文化和收藏價值。
OUSG,數位黃金投資產品。
USDB,由 Tangible 發行的與美元掛鉤的穩定幣。
USYC,Hashnote USYC,Hashnote 發行的與美國國債掛鉤的穩定幣。
PENDLE,允許交易代幣化收益的 DeFi 協議。
XCN,Onyxcoin 加密貨幣支付網絡，專注於隱私和速度。
PLUME,旨在通過區塊鏈技術來改變房地產行業的平台。
COMP,去中心化借貸協議，允許用戶借出和借入加密貨幣，賺取利息。
SPX,SPX6900 槓桿加密貨幣產品，追蹤標準普爾 500 指數的表現。
USDY,Ondo US Dollar Yield,由 Ondo Finance 發行的代幣化美國國債。
MATIC,Polygon 以太坊的 Layer 2 擴容方案，提供快速交易速度和低廉的手續費，適用於 DApp 開發。
AXL,提供安全跨鏈通信的去中心化網絡。
EETH,ether.fi Staked ETH,ether.fi 協議中質押的以太幣的代表。
OSETH,StakeWise Staked ETH,StakeWise 協議中質押的以太幣的代表。
